                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.359,                 1.0487,                 1.2731,                0.74792,                0.58131,                0.65647,                0.37984,                 1.4875,                  1.076,                  1.359,             0.00057778,             0.00057778,             0.00057778
                     35,                 1.3603,                 1.0521,                  1.271,                0.74073,                0.58036,                0.64671,                0.37651,                  1.501,                  1.104,                 1.3659,             0.00054478,             0.00054478,             0.00054478
                     36,                 1.3585,                 1.0517,                  1.276,                 0.7541,                0.56759,                0.63669,                0.37171,                 1.5013,                 1.1031,                 1.3748,             0.00051177,             0.00051177,             0.00051177
                     37,                 1.3484,                 1.0447,                 1.2717,                0.74803,                0.56788,                0.64111,                0.36987,                 1.5077,                  1.112,                 1.3776,             0.00047876,             0.00047876,             0.00047876
                     38,                 1.3425,                 1.0215,                 1.2629,                0.72304,                0.57865,                0.65042,                0.37663,                 1.5147,                 1.0982,                 1.3863,             0.00044576,             0.00044576,             0.00044576
                     39,                 1.3275,                 1.0092,                 1.2562,                0.74113,                0.58646,                0.65785,                0.38171,                 1.5126,                 1.0657,                 1.3755,             0.00041275,             0.00041275,             0.00041275
                     40,                 1.3247,                 1.0027,                 1.2529,                0.74489,                0.58312,                0.65392,                0.37834,                 1.5071,                  1.075,                 1.3696,             0.00037974,             0.00037974,             0.00037974
                     41,                 1.3581,                0.99369,                 1.2642,                 0.7462,                0.58851,                0.65238,                0.37951,                  1.494,                 1.0845,                 1.3704,             0.00034674,             0.00034674,             0.00034674
                     42,                 1.3343,                0.96213,                 1.2467,                0.72937,                0.59052,                0.65471,                0.38674,                 1.4706,                 1.0587,                 1.3514,             0.00031373,             0.00031373,             0.00031373
                     43,                 1.3204,                0.95371,                 1.2446,                0.77088,                0.56611,                0.65417,                0.38315,                 1.4898,                 1.0706,                 1.3573,             0.00028072,             0.00028072,             0.00028072
                     44,                 1.3095,                 0.9445,                 1.2382,                 0.7392,                0.57602,                 0.6455,                0.37959,                 1.4854,                 1.0887,                 1.3599,             0.00024772,             0.00024772,             0.00024772
                     45,                 1.3019,                0.92995,                 1.2321,                0.75793,                0.58114,                0.64869,                0.38071,                 1.4937,                 1.0811,                 1.3589,             0.00021471,             0.00021471,             0.00021471
                     46,                  1.288,                0.91659,                 1.2265,                0.74997,                0.58255,                0.65322,                0.38375,                  1.486,                 1.0567,                 1.3693,              0.0001817,              0.0001817,              0.0001817
                     47,                 1.2857,                0.89638,                 1.2211,                0.72063,                0.59221,                0.65121,                0.37906,                 1.4996,                 1.0658,                 1.3676,              0.0001487,              0.0001487,              0.0001487
                     48,                  1.275,                 0.8839,                 1.2139,                0.72103,                0.59716,                0.65922,                 0.3862,                 1.4864,                 1.0595,                 1.3571,             0.00011569,             0.00011569,             0.00011569
                     49,                 1.2669,                0.88368,                 1.2107,                0.74606,                0.58312,                0.65762,                0.38537,                 1.4926,                 1.0608,                 1.3624,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                 1.2644,                 0.8795,                 1.2048,                0.74429,                0.58594,                0.65794,                0.38554,                 1.4859,                 1.0628,                 1.3618,             4.9677e-05,             4.9677e-05,             4.9677e-05
