                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5412,                 1.9667,                 1.4752,                0.63047,                0.53218,                0.56732,                0.29501,                  1.659,                 1.8978,                 1.6073,             0.00055319,             0.00055319,             0.00055319
                      2,                 1.6482,                 1.7887,                 1.5872,                0.57863,                0.47539,                0.49366,                0.24779,                 1.7415,                 2.0728,                 1.7087,              0.0010869,              0.0010869,              0.0010869
                      3,                  1.696,                 1.7587,                 1.6275,                0.59717,                 0.4782,                0.51091,                0.24954,                 1.7454,                  1.938,                 1.7397,              0.0015986,              0.0015986,              0.0015986
                      4,                 1.6687,                 1.7018,                  1.623,                0.58841,                0.47927,                 0.4954,                0.24651,                 1.7624,                 1.7499,                 1.7128,               0.001568,               0.001568,               0.001568
